REGION_I,ILOCOS_NORTE
REGION_I,ILOCOS_SUR
REGION_I,LA_UNION
REGION_I,PANGASINAN
REGION_II,BATANES
REGION_II,CAGAYAN
REGION_II,ISABELA
REGION_II,NUEVA_VIZCAYA
REGION_II,QUIRINO
REGION_III,BATAAN
REGION_III,BULACAN
REGION_III,NUEVA_ECIJA
REGION_III,PAMPANGA
REGION_III,TARLAC
REGION_III,ZAMBALES
REGION_III,AURORA
REGION_IV_A,BATANGAS
REGION_IV_A,CAVITE
REGION_IV_A,LAGUNA
REGION_IV_A,QUEZON
REGION_IV_A,RIZAL
REGION_V,ALBAY
REGION_V,CAMARINES_NORTE
REGION_V,CAMARINES_SUR
REGION_V,CATANDUANES
REGION_V,MASBATE
REGION_V,SORSOGON
REGION_VI,AKLAN
REGION_VI,ANTIQUE
REGION_VI,CAPIZ
REGION_VI,ILOILO
REGION_VI,NEGROS_OCCIDENTAL
REGION_VI,GUIMARAS
REGION_VII,BOHOL
REGION_VII,CEBU
REGION_VII,NEGROS_ORIENTAL
REGION_VII,SIQUIJOR
REGION_VIII,EASTERN_SAMAR
REGION_VIII,LEYTE
REGION_VIII,NORTHERN_SAMAR
REGION_VIII,SAMAR
REGION_VIII,SOUTHERN_LEYTE
REGION_VIII,BILIRAN
REGION_IX,ZAMBOANGA_DEL_NORTE
REGION_IX,ZAMBOANGA_DEL_SUR
REGION_IX,ZAMBOANGA_SIBUGAY
REGION_IX,CITY_OF_ISABELA
REGION_X,BUKIDNON
REGION_X,CAMIGUIN
REGION_X,LANAO_DEL_NORTE
REGION_X,MISAMIS_OCCIDENTAL
REGION_X,MISAMIS_ORIENTAL
REGION_XI,DAVAO_DEL_NORTE
REGION_XI,DAVAO_DEL_SUR
REGION_XI,DAVAO_ORIENTAL
REGION_XI,COMPOSTELA_VALLEY
REGION_XI,DAVAO_OCCIDENTAL
REGION_XII,NORTH_COTABATO
REGION_XII,SOUTH_COTABATO
REGION_XII,SULTAN_KUDARAT
REGION_XII,SARANGANI
REGION_XII,COTABATO_CITY
NATIONAL_CAPITAL_REGION,CITY_OF_MANILA
NATIONAL_CAPITAL_REGION,"NCR,_SECOND_DISTRICT"
NATIONAL_CAPITAL_REGION,"NCR,_THIRD_DISTRICT"
NATIONAL_CAPITAL_REGION,"NCR,_FOURTH_DISTRICT"
CORDILLERA_ADMINISTRATIVE_REGION,ABRA
CORDILLERA_ADMINISTRATIVE_REGION,BENGUET
CORDILLERA_ADMINISTRATIVE_REGION,IFUGAO
CORDILLERA_ADMINISTRATIVE_REGION,KALINGA
CORDILLERA_ADMINISTRATIVE_REGION,MOUNTAIN_PROVINCE
CORDILLERA_ADMINISTRATIVE_REGION,APAYAO
BANGSAMORO_AUTONOMOUS_REGION_IN_MUSLIM_MINDANAO,BASILAN
BANGSAMORO_AUTONOMOUS_REGION_IN_MUSLIM_MINDANAO,LANAO_DEL_SUR
BANGSAMORO_AUTONOMOUS_REGION_IN_MUSLIM_MINDANAO,MAGUINDANAO
BANGSAMORO_AUTONOMOUS_REGION_IN_MUSLIM_MINDANAO,SULU
BANGSAMORO_AUTONOMOUS_REGION_IN_MUSLIM_MINDANAO,TAWI_TAWI
REGION_XIII,AGUSAN_DEL_NORTE
REGION_XIII,AGUSAN_DEL_SUR
REGION_XIII,SURIGAO_DEL_NORTE
REGION_XIII,SURIGAO_DEL_SUR
REGION_XIII,DINAGAT_ISLANDS
REGION_IV_B,MARINDUQUE
REGION_IV_B,OCCIDENTAL_MINDORO
REGION_IV_B,ORIENTAL_MINDORO
REGION_IV_B,PALAWAN
REGION_IV_B,ROMBLON
